brief_id,model,language,clip_score
MB047,sd15,fr,28.0181
MB047,sd15,es,33.3735
MB047,flux,de,31.5645
MB047,flux,fr,31.9245
MB047,flux,es,36.3434
MB048,sd15,de,35.1105
MB048,sd15,fr,35.7095
MB048,sd15,es,24.5309
MB048,flux,de,35.968
MB048,flux,fr,37.7718
MB048,flux,es,33.4723
MB049,sd15,de,30.5649
MB049,sd15,fr,31.5169
MB049,sd15,es,30.7689
MB049,flux,de,25.2564
MB049,flux,fr,29.7431
MB049,flux,es,35.2116
MB050,sd15,de,30.2726
MB050,sd15,fr,32.2344
MB050,sd15,es,31.0469
MB050,flux,de,28.776
MB050,flux,fr,29.6135
MB050,flux,es,33.8769
MB051,sd15,de,28.5703
MB051,sd15,fr,29.8493
MB051,sd15,es,31.0482
MB051,flux,de,31.0364
MB051,flux,fr,37.1188
MB051,flux,es,34.0041
MB052,sd15,de,29.712
MB052,sd15,fr,29.2666
MB052,sd15,es,27.2547
MB052,flux,de,25.4083
MB052,flux,fr,32.5478
MB052,flux,es,27.4613
MB053,sd15,de,30.6207
MB053,sd15,fr,30.1177
MB053,sd15,es,30.9876
MB053,flux,de,29.6016
MB053,flux,fr,36.5575
MB053,flux,es,34.0021
MB054,sd15,de,27.5982
MB054,sd15,fr,32.2367
MB054,sd15,es,32.4218
MB054,flux,de,36.5989
MB054,flux,fr,37.1437
MB054,flux,es,38.0406
MB055,sd15,de,34.6356
MB055,sd15,fr,31.8432
MB055,sd15,es,30.5857
MB055,flux,de,29.7974
MB055,flux,fr,35.5306
MB055,flux,es,29.8525
MB056,sd15,de,30.5801
MB056,sd15,fr,25.4125
MB056,sd15,es,25.1826
MB056,flux,de,32.5555
MB056,flux,fr,37.1762
MB056,flux,es,30.1949
MB057,sd15,de,30.5434
MB057,sd15,fr,26.6816
MB057,sd15,es,27.9783
MB057,flux,de,33.6858
MB057,flux,fr,44.3042
MB057,flux,es,37.9608
MB058,sd15,de,30.5454
MB058,sd15,fr,30.6637
MB058,sd15,es,33.9571
MB058,flux,de,30.5984
MB058,flux,fr,38.213
MB058,flux,es,30.7112
MB059,sd15,de,27.2465
MB059,sd15,fr,34.2899
MB059,sd15,es,31.7419
MB059,flux,de,38.4973
MB059,flux,fr,39.0547
MB059,flux,es,32.6705
MB060,sd15,de,31.3836
MB060,sd15,fr,33.2396
MB060,sd15,es,33.5983
MB060,flux,de,31.7232
MB060,flux,fr,36.3345
MB060,flux,es,33.6295
MB061,sd15,de,30.9763
MB061,sd15,fr,31.5727
MB061,sd15,es,33.2461
MB061,flux,de,34.7843
MB061,flux,fr,35.9307
MB061,flux,es,35.9375
MB062,sd15,de,30.967
MB062,sd15,fr,26.6943
MB062,sd15,es,34.0782
MB062,flux,de,37.8687
MB062,flux,fr,36.0693
MB062,flux,es,37.8711
MB063,sd15,de,29.3159
MB063,sd15,fr,31.9807
MB063,sd15,es,31.209
MB063,flux,de,35.0414
MB063,flux,fr,36.1974
MB063,flux,es,35.0965
MB064,sd15,de,28.7875
MB064,sd15,fr,35.6493
MB064,sd15,es,31.4085
MB064,flux,de,32.4471
MB064,flux,fr,36.4664
MB064,flux,es,30.5334
MB065,sd15,de,24.9081
MB065,sd15,fr,26.5596
MB065,sd15,es,32.1319
MB065,flux,de,33.2647
MB065,flux,fr,32.3441
MB065,flux,es,33.7877
MB066,sd15,de,31.877
MB066,sd15,fr,32.9137
MB066,sd15,es,31.5141
MB066,flux,de,29.517
MB066,flux,fr,33.9541
MB066,flux,es,32.9894
MB067,sd15,de,28.8464
MB067,sd15,fr,35.092
MB067,sd15,es,34.7322
MB067,flux,de,36.8326
MB067,flux,fr,37.3412
MB067,flux,es,35.4958
MB068,sd15,de,27.627
MB068,sd15,fr,31.0138
MB068,sd15,es,30.45
MB068,flux,de,29.9968
MB068,flux,fr,33.3623
MB068,flux,es,33.8582
MB069,sd15,de,32.3568
MB069,sd15,fr,32.1589
