model,language,prompt_id,seed,source,category,clip_score,mclip_score
sd15,de,GB037,42,GenAI-Bench,Attribute,26.736605,0.30046
sd15,de,GB038,42,GenAI-Bench,Attribute,29.810438,0.289222
sd15,de,GB039,42,GenAI-Bench,Attribute,27.919015,0.269552
sd15,de,GB040,42,GenAI-Bench,Attribute,25.74394,0.275786
sd15,de,GB041,42,GenAI-Bench,Attribute,25.890094,0.300762
sd15,de,GB042,42,GenAI-Bench,Attribute,22.024064,0.24185
sd15,de,GB043,42,GenAI-Bench,Attribute,31.436479,0.347613
sd15,de,GB044,42,GenAI-Bench,Attribute,30.222985,0.301908
sd15,de,GB045,42,GenAI-Bench,Attribute,28.781921,0.286958
sd15,de,GB046,42,GenAI-Bench,Attribute,33.104262,0.33573
sd15,de,GB047,42,GenAI-Bench,Attribute,24.01315,0.24646
sd15,de,GB048,42,GenAI-Bench,Attribute,25.5238,0.253242
sd15,de,GB049,42,GenAI-Bench,Attribute,31.546539,0.311399
sd15,de,GB050,42,GenAI-Bench,Attribute,19.202745,0.229916
sd15,fr,DB001,42,DrawBench,Colors,25.072777,0.249979
sd15,fr,DB002,42,DrawBench,Colors,27.559775,0.257479
sd15,fr,DB003,42,DrawBench,Colors,26.704714,0.260336
sd15,fr,DB004,42,DrawBench,Colors,23.539063,0.264313
sd15,fr,DB005,42,DrawBench,Colors,24.87665,0.268992
sd15,fr,DB006,42,DrawBench,Colors,30.015385,0.309087
sd15,fr,DB007,42,DrawBench,Colors,32.511884,0.306196
sd15,fr,DB008,42,DrawBench,Colors,29.168284,0.286915
sd15,fr,DB009,42,DrawBench,Colors,34.212801,0.304162
sd15,fr,DB010,42,DrawBench,Colors,21.60605,0.242256
sd15,fr,DB011,42,DrawBench,Colors,32.919279,0.289842
sd15,fr,DB012,42,DrawBench,Colors,30.937141,0.301194
sd15,fr,DB013,42,DrawBench,Colors,26.304284,0.247685
sd15,fr,DB014,42,DrawBench,Counting,27.955231,0.293649
sd15,fr,DB015,42,DrawBench,Counting,29.222038,0.295941
sd15,fr,DB016,42,DrawBench,Counting,25.521505,0.289895
sd15,fr,DB017,42,DrawBench,Counting,27.707523,0.279902
sd15,fr,DB018,42,DrawBench,Counting,30.77994,0.308879
